run_id,mode,requested_block,actual_block_size,attack_start_window,attack_end_window,recovery_start_window,relock_status,relock_window,relock_sample,relock_time_windows,relock_time_samples,max_recovered_lock,baseline_duration,residual_damage
18,block_3,3,3,55.0,57.0,58.0,relocked,67.0,770.0,10.0,100.0,19,55.0,0.6545454545454545
18,block_5,5,5,54.0,58.0,59.0,relocked,68.0,780.0,10.0,100.0,18,55.0,0.6727272727272727
18,block_10,10,10,51.0,60.0,61.0,relocked,70.0,800.0,10.0,100.0,16,55.0,0.7090909090909091
19,block_3,3,3,44.0,46.0,47.0,relocked,56.0,660.0,10.0,100.0,18,53.0,0.6603773584905661
19,block_5,5,5,43.0,47.0,48.0,relocked,57.0,670.0,10.0,100.0,17,53.0,0.679245283018868
19,block_10,10,10,40.0,49.0,50.0,relocked,59.0,690.0,10.0,100.0,15,53.0,0.7169811320754718
20,block_3,3,0,,,,no_replacement,,,,,0,66.0,1.0
20,block_5,5,0,,,,no_replacement,,,,,0,66.0,1.0
20,block_10,10,0,,,,no_replacement,,,,,0,66.0,1.0
21,block_3,3,3,57.0,59.0,60.0,relocked,69.0,790.0,10.0,100.0,17,46.0,0.6304347826086957
21,block_5,5,5,56.0,60.0,61.0,relocked,70.0,800.0,10.0,100.0,16,46.0,0.6521739130434783
21,block_10,10,10,53.0,62.0,63.0,relocked,72.0,820.0,10.0,100.0,14,46.0,0.6956521739130435
22,block_3,3,3,25.0,27.0,28.0,relocked,37.0,470.0,10.0,100.0,7,18.0,0.6111111111111112
22,block_5,5,5,24.0,28.0,29.0,relocked,67.0,770.0,39.0,390.0,7,18.0,0.6111111111111112
22,block_10,10,10,22.0,31.0,32.0,relocked,67.0,770.0,36.0,360.0,7,18.0,0.6111111111111112
23,block_3,3,3,49.0,51.0,52.0,relocked,61.0,710.0,10.0,100.0,9,30.0,0.7
23,block_5,5,5,48.0,52.0,53.0,relocked,62.0,720.0,10.0,100.0,8,30.0,0.7333333333333334
23,block_10,10,10,45.0,54.0,55.0,relocked,64.0,740.0,10.0,100.0,6,30.0,0.8
24,block_3,3,3,40.0,42.0,43.0,relocked,52.0,620.0,10.0,100.0,16,48.0,0.6666666666666667
24,block_5,5,5,39.0,43.0,44.0,relocked,53.0,630.0,10.0,100.0,15,48.0,0.6875
24,block_10,10,10,37.0,46.0,47.0,relocked,56.0,660.0,10.0,100.0,12,48.0,0.75
25,block_3,3,3,50.0,52.0,53.0,relocked,62.0,720.0,10.0,100.0,18,52.0,0.6538461538461539
25,block_5,5,5,49.0,53.0,54.0,relocked,63.0,730.0,10.0,100.0,17,52.0,0.6730769230769231
25,block_10,10,10,47.0,56.0,57.0,relocked,66.0,760.0,10.0,100.0,14,52.0,0.7307692307692308
26,block_3,3,3,57.0,59.0,60.0,relocked,69.0,790.0,10.0,100.0,17,50.0,0.6599999999999999
26,block_5,5,5,56.0,60.0,61.0,relocked,70.0,800.0,10.0,100.0,16,50.0,0.6799999999999999
26,block_10,10,10,54.0,63.0,64.0,relocked,73.0,830.0,10.0,100.0,13,50.0,0.74
27,block_3,3,3,50.0,52.0,53.0,relocked,62.0,720.0,10.0,100.0,24,65.0,0.6307692307692307
27,block_5,5,5,49.0,53.0,54.0,relocked,63.0,730.0,10.0,100.0,23,65.0,0.6461538461538461
27,block_10,10,10,46.0,55.0,56.0,relocked,65.0,750.0,10.0,100.0,21,65.0,0.676923076923077
28,block_3,3,3,53.0,55.0,56.0,relocked,65.0,750.0,10.0,100.0,21,58.0,0.6379310344827587
28,block_5,5,5,52.0,56.0,57.0,relocked,66.0,760.0,10.0,100.0,20,58.0,0.6551724137931034
28,block_10,10,10,50.0,59.0,60.0,relocked,69.0,790.0,10.0,100.0,17,58.0,0.7068965517241379
29,block_3,3,3,64.0,66.0,67.0,relocked,76.0,860.0,10.0,100.0,10,31.0,0.6774193548387097
29,block_5,5,5,63.0,67.0,68.0,relocked,77.0,870.0,10.0,100.0,9,31.0,0.7096774193548387
29,block_10,10,10,61.0,70.0,71.0,relocked,80.0,900.0,10.0,100.0,6,31.0,0.8064516129032258
30,block_3,3,3,46.0,48.0,49.0,relocked,58.0,680.0,10.0,100.0,11,33.0,0.6666666666666667
30,block_5,5,5,45.0,49.0,50.0,relocked,59.0,690.0,10.0,100.0,10,33.0,0.696969696969697
30,block_10,10,10,43.0,52.0,53.0,relocked,62.0,720.0,10.0,100.0,7,33.0,0.7878787878787878
31,block_3,3,0,,,,no_replacement,,,,,0,66.0,1.0
31,block_5,5,0,,,,no_replacement,,,,,0,66.0,1.0
31,block_10,10,0,,,,no_replacement,,,,,0,66.0,1.0
32,block_3,3,3,60.0,62.0,63.0,relocked,72.0,820.0,10.0,100.0,14,39.0,0.641025641025641
32,block_5,5,5,59.0,63.0,64.0,relocked,73.0,830.0,10.0,100.0,13,39.0,0.6666666666666667
32,block_10,10,10,57.0,66.0,67.0,relocked,76.0,860.0,10.0,100.0,10,39.0,0.7435897435897436
33,block_3,3,0,,,,no_replacement,,,,,0,66.0,1.0
33,block_5,5,0,,,,no_replacement,,,,,0,66.0,1.0
33,block_10,10,0,,,,no_replacement,,,,,0,66.0,1.0
34,block_3,3,3,49.0,51.0,52.0,relocked,61.0,710.0,10.0,100.0,24,65.0,0.6307692307692307
34,block_5,5,5,48.0,52.0,53.0,relocked,62.0,720.0,10.0,100.0,23,65.0,0.6461538461538461
34,block_10,10,10,45.0,54.0,55.0,relocked,64.0,740.0,10.0,100.0,21,65.0,0.676923076923077
35,block_3,3,3,64.0,66.0,67.0,relocked,76.0,860.0,10.0,100.0,10,31.0,0.6774193548387097
35,block_5,5,5,63.0,67.0,68.0,relocked,77.0,870.0,10.0,100.0,9,31.0,0.7096774193548387
35,block_10,10,10,61.0,70.0,71.0,relocked,80.0,900.0,10.0,100.0,6,31.0,0.8064516129032258
36,block_3,3,3,43.0,45.0,46.0,relocked,55.0,650.0,10.0,100.0,10,35.0,0.7142857142857143
36,block_5,5,5,42.0,46.0,47.0,relocked,56.0,660.0,10.0,100.0,10,35.0,0.7142857142857143
36,block_10,10,10,39.0,48.0,49.0,relocked,58.0,680.0,10.0,100.0,10,35.0,0.7142857142857143
37,block_3,3,0,,,,no_replacement,,,,,0,66.0,1.0
37,block_5,5,0,,,,no_replacement,,,,,0,66.0,1.0
37,block_10,10,0,,,,no_replacement,,,,,0,66.0,1.0
