run_id,mode,requested_block,actual_block_size,attack_start_window,attack_end_window,recovery_start_window,relock_status,relock_window,relock_time_windows,relock_time_samples,recovery_horizon,horizon_margin
22,block_20,20,20,17.0,36.0,37.0,relocked,67.0,31.0,310.0,49.0,4.9
22,block_30,30,22,16.0,37.0,38.0,relocked,67.0,30.0,300.0,48.0,4.8
23,block_15,15,15,43.0,57.0,58.0,relocked,67.0,10.0,100.0,28.0,2.8
23,block_20,20,20,40.0,59.0,60.0,relocked,69.0,10.0,100.0,26.0,2.6
23,block_30,30,30,35.0,64.0,65.0,relocked,82.0,18.0,180.0,21.0,2.1
24,block_15,15,15,34.0,48.0,49.0,relocked,58.0,10.0,100.0,37.0,3.7
24,block_20,20,20,32.0,51.0,52.0,relocked,61.0,10.0,100.0,34.0,3.4
24,block_30,30,30,27.0,56.0,57.0,relocked,66.0,10.0,100.0,29.0,2.9
25,block_15,15,15,44.0,58.0,59.0,relocked,68.0,10.0,100.0,27.0,2.7
25,block_20,20,20,42.0,61.0,62.0,relocked,71.0,10.0,100.0,24.0,2.4
25,block_30,30,30,37.0,66.0,67.0,relocked,76.0,10.0,100.0,19.0,1.9
26,block_15,15,15,51.0,65.0,66.0,relocked,75.0,10.0,100.0,20.0,2.0
26,block_20,20,20,49.0,68.0,69.0,relocked,78.0,10.0,100.0,17.0,1.7
26,block_30,30,30,44.0,73.0,74.0,relocked,83.0,10.0,100.0,12.0,1.2
27,block_15,15,15,44.0,58.0,59.0,relocked,68.0,10.0,100.0,27.0,2.7
27,block_20,20,20,41.0,60.0,61.0,relocked,70.0,10.0,100.0,25.0,2.5
27,block_30,30,30,36.0,65.0,66.0,relocked,75.0,10.0,100.0,20.0,2.0
28,block_15,15,15,47.0,61.0,62.0,relocked,71.0,10.0,100.0,24.0,2.4
28,block_20,20,20,45.0,64.0,65.0,relocked,74.0,10.0,100.0,21.0,2.1
28,block_30,30,30,40.0,69.0,70.0,relocked,79.0,10.0,100.0,16.0,1.6
29,block_15,15,15,58.0,72.0,73.0,relocked,82.0,10.0,100.0,13.0,1.3
29,block_20,20,20,56.0,75.0,76.0,relocked,85.0,10.0,100.0,10.0,1.0
29,block_30,30,30,51.0,80.0,81.0,no_relock,,,,5.0,0.5
30,block_15,15,15,40.0,54.0,55.0,relocked,64.0,10.0,100.0,31.0,3.1
30,block_20,20,20,38.0,57.0,58.0,relocked,67.0,10.0,100.0,28.0,2.8
30,block_30,30,30,33.0,62.0,63.0,relocked,85.0,23.0,230.0,23.0,2.3
31,block_15,15,0,,,,no_replacement,,,,,
31,block_20,20,0,,,,no_replacement,,,,,
31,block_30,30,0,,,,no_replacement,,,,,
32,block_15,15,15,54.0,68.0,69.0,relocked,78.0,10.0,100.0,17.0,1.7
32,block_20,20,20,52.0,71.0,72.0,relocked,81.0,10.0,100.0,14.0,1.4
32,block_30,30,30,47.0,76.0,77.0,no_relock,,,,9.0,0.9
33,block_15,15,0,,,,no_replacement,,,,,
33,block_20,20,0,,,,no_replacement,,,,,
33,block_30,30,0,,,,no_replacement,,,,,
34,block_15,15,15,43.0,57.0,58.0,relocked,67.0,10.0,100.0,28.0,2.8
34,block_20,20,20,40.0,59.0,60.0,relocked,69.0,10.0,100.0,26.0,2.6
34,block_30,30,30,35.0,64.0,65.0,relocked,74.0,10.0,100.0,21.0,2.1
35,block_15,15,15,58.0,72.0,73.0,relocked,82.0,10.0,100.0,13.0,1.3
35,block_20,20,20,56.0,75.0,76.0,relocked,85.0,10.0,100.0,10.0,1.0
35,block_30,30,30,51.0,80.0,81.0,no_relock,,,,5.0,0.5
36,block_15,15,15,37.0,51.0,52.0,relocked,61.0,10.0,100.0,34.0,3.4
36,block_20,20,20,34.0,53.0,54.0,relocked,63.0,10.0,100.0,32.0,3.2
36,block_30,30,30,29.0,58.0,59.0,relocked,76.0,18.0,180.0,27.0,2.7
37,block_15,15,0,,,,no_replacement,,,,,
37,block_20,20,0,,,,no_replacement,,,,,
