run_id,population,attack_mode,relock_rate,relock_time,quality_score,locked_fraction,drop_rate,quality_class
33,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
33,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
33,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
33,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
34,A,block_3,1.0,10.0,0.9216,0.96,0.04,stable
34,A,block_5,1.0,10.0,0.9184027777777779,0.9583333333333334,0.041666666666666664,stable
34,A,block_10,1.0,10.0,0.9111570247933886,0.9545454545454546,0.045454545454545456,stable
34,A,block_15,1.0,10.0,0.8975069252077562,0.9473684210526315,0.05263157894736842,stable
34,A,block_20,1.0,10.0,0.8858131487889274,0.9411764705882353,0.058823529411764705,stable
35,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
35,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
35,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
35,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
35,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
36,A,block_3,1.0,10.0,0.3756503642039542,0.6129032258064516,0.3870967741935484,fragile
36,A,block_5,1.0,10.0,0.36,0.6,0.4,fragile
36,A,block_10,1.0,10.0,0.32653061224489793,0.5714285714285714,0.42857142857142855,fragile
36,A,block_15,1.0,10.0,0.27040000000000003,0.52,0.48,collapse
36,A,block_20,1.0,10.0,0.2287334593572779,0.4782608695652174,0.5217391304347826,collapse
37,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
37,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
37,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
37,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
37,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
38,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
38,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
38,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
38,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
38,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
39,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
39,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
39,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
39,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
39,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
40,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
40,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
40,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
40,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
40,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
41,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
41,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
41,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
