run_id,is_collapse,baseline_locked_fraction,baseline_max_duration,n_locked_segments,mean_locked_duration,target_pair_frequency,trigger_window,trigger_delay,quality_score,drop_rate,stable_count,fragile_count,collapse_count,recovery_horizon,horizon_margin,labels
1,False,0.8,60,1,60.0,0.92,21,150,1.0,0.0,3.0,0.0,0.0,21.333333333333332,2.1333333333333333,none
2,False,0.7333333333333333,41,2,27.5,0.9733333333333334,15,90,0.477885543850947,0.3087940882058529,0.0,3.0,0.0,37.0,3.6999999999999997,recovery_fragile
3,False,0.7333333333333333,55,1,55.0,0.96,15,90,0.37917757998159046,0.38446147296722005,0.0,3.0,0.0,30.0,3.0,recovery_fragile
4,False,0.8533333333333334,64,1,64.0,0.9733333333333334,17,110,1.0,0.0,3.0,0.0,0.0,23.333333333333332,2.3333333333333335,none
5,False,0.8,60,1,60.0,0.92,21,150,1.0,0.0,3.0,0.0,0.0,21.333333333333332,2.1333333333333333,none
6,False,0.5066666666666667,25,2,19.0,0.8133333333333334,23,170,1.0,0.0,3.0,0.0,0.0,6.333333333333333,0.6333333333333333,weak_lock;late_trigger
7,False,0.84,63,1,63.0,0.96,18,120,1.0,0.0,3.0,0.0,0.0,23.0,2.3000000000000003,none
8,False,0.88,66,1,66.0,1.0,15,90,,,,,,,,none
9,False,0.8533333333333334,64,1,64.0,0.9733333333333334,17,110,1.0,0.0,3.0,0.0,0.0,23.333333333333332,2.3333333333333335,none
10,False,0.84,63,1,63.0,0.96,15,90,0.7710293486650038,0.12193979933110362,3.0,0.0,0.0,26.0,2.6,none
11,False,0.6933333333333334,33,2,26.0,0.9333333333333333,17,110,0.46395947653139213,0.31893837156995053,0.0,3.0,0.0,39.0,3.9,recovery_fragile
12,False,0.6533333333333333,39,2,24.5,0.8933333333333333,21,150,1.0,0.0,3.0,0.0,0.0,13.333333333333334,1.3333333333333333,weak_lock
13,False,0.8,60,1,60.0,0.9333333333333333,21,150,1.0,0.0,3.0,0.0,0.0,21.333333333333332,2.1333333333333333,none
14,False,0.56,23,2,21.0,0.8,22,160,1.0,0.0,3.0,0.0,0.0,5.333333333333333,0.5333333333333333,weak_lock
15,True,0.49333333333333335,34,2,18.5,0.7466666666666667,15,90,0.06934591593740143,0.7387002856515051,0.0,0.0,3.0,40.333333333333336,4.033333333333333,weak_lock;recovery_fragile
16,False,0.6933333333333334,52,1,52.0,0.92,20,140,0.41415654477309266,0.35693050910442214,0.0,3.0,0.0,26.333333333333332,2.6333333333333333,recovery_fragile
17,False,0.88,66,1,66.0,1.0,15,90,,,,,,,,none
18,False,0.7333333333333333,55,1,55.0,0.92,26,200,1.0,0.0,3.0,0.0,0.0,19.0,1.9000000000000001,late_trigger
19,False,0.7333333333333333,53,2,27.5,0.9733333333333334,16,100,0.4233762689158236,0.34951042997020004,0.0,3.0,0.0,30.0,3.0,recovery_fragile
20,False,0.88,66,1,66.0,1.0,15,90,,,,,,,,none
21,False,0.6533333333333333,46,2,24.5,0.8933333333333333,22,160,1.0,0.0,3.0,0.0,0.0,17.0,1.7,weak_lock
22,True,0.36,18,3,9.0,0.72,15,90,0.163467591796739,0.6161833154314357,0.0,0.0,3.0,49.666666666666664,4.966666666666668,weak_lock;fragmented;recovery_fragile
23,True,0.5866666666666667,30,3,14.666666666666666,0.9466666666666667,15,90,0.24233719008264462,0.5084848484848484,0.0,0.0,3.0,25.0,2.5,weak_lock;fragmented;recovery_fragile
24,True,0.64,48,1,48.0,0.8666666666666667,15,90,0.19602161914838856,0.5582887700534759,0.0,0.0,3.0,33.333333333333336,3.3333333333333335,weak_lock;recovery_fragile
25,False,0.6933333333333334,52,1,52.0,0.8266666666666667,23,170,0.5329379332073093,0.2702898550724638,0.0,3.0,0.0,23.333333333333332,2.3333333333333335,late_trigger;recovery_fragile
26,False,0.6666666666666666,50,1,50.0,0.8133333333333334,31,250,1.0,0.0,3.0,0.0,0.0,16.333333333333332,1.6333333333333335,weak_lock;late_trigger
27,False,0.8666666666666667,65,1,65.0,0.9866666666666667,16,100,1.0,0.0,3.0,0.0,0.0,24.0,2.4,none
28,False,0.7733333333333333,58,1,58.0,0.8933333333333333,23,170,1.0,0.0,3.0,0.0,0.0,20.333333333333332,2.033333333333333,late_trigger
