run_id,population,attack_mode,H,relock_window,relock_to_drop_latency,early_break,early_locked_fraction,early_persistent_or_locked_fraction,early_mean_run_length,early_min_run_length,early_run_length_slope,early_state_drop,early_below_persistent
45,A,block_3,5,61,25,0,1.0,1.0,12.0,10,4,False,False
45,A,block_3,10,61,25,0,1.0,1.0,14.5,10,9,False,False
45,A,block_5,3,62,24,0,1.0,1.0,11.0,10,2,False,False
45,A,block_5,5,62,24,0,1.0,1.0,12.0,10,4,False,False
45,A,block_5,10,62,24,0,1.0,1.0,14.5,10,9,False,False
45,A,block_10,3,65,21,0,1.0,1.0,11.0,10,2,False,False
45,A,block_10,5,65,21,0,1.0,1.0,12.0,10,4,False,False
45,A,block_10,10,65,21,0,1.0,1.0,14.5,10,9,False,False
45,A,block_15,3,67,19,0,1.0,1.0,11.0,10,2,False,False
45,A,block_15,5,67,19,0,1.0,1.0,12.0,10,4,False,False
45,A,block_15,10,67,19,0,1.0,1.0,14.5,10,9,False,False
45,A,block_20,3,70,16,0,1.0,1.0,11.0,10,2,False,False
45,A,block_20,5,70,16,0,1.0,1.0,12.0,10,4,False,False
45,A,block_20,10,70,16,0,1.0,1.0,14.5,10,9,False,False
46,A,block_3,3,61,25,0,1.0,1.0,11.0,10,2,False,False
46,A,block_3,5,61,25,0,1.0,1.0,12.0,10,4,False,False
46,A,block_3,10,61,25,0,1.0,1.0,14.5,10,9,False,False
46,A,block_5,3,62,24,0,1.0,1.0,11.0,10,2,False,False
46,A,block_5,5,62,24,0,1.0,1.0,12.0,10,4,False,False
46,A,block_5,10,62,24,0,1.0,1.0,14.5,10,9,False,False
46,A,block_10,3,65,21,0,1.0,1.0,11.0,10,2,False,False
46,A,block_10,5,65,21,0,1.0,1.0,12.0,10,4,False,False
46,A,block_10,10,65,21,0,1.0,1.0,14.5,10,9,False,False
46,A,block_15,3,67,19,0,1.0,1.0,11.0,10,2,False,False
46,A,block_15,5,67,19,0,1.0,1.0,12.0,10,4,False,False
46,A,block_15,10,67,19,0,1.0,1.0,14.5,10,9,False,False
46,A,block_20,3,70,16,0,1.0,1.0,11.0,10,2,False,False
46,A,block_20,5,70,16,0,1.0,1.0,12.0,10,4,False,False
46,A,block_20,10,70,16,0,1.0,1.0,14.5,10,9,False,False
47,A,block_3,3,62,24,0,1.0,1.0,11.0,10,2,False,False
47,A,block_3,5,62,24,0,1.0,1.0,12.0,10,4,False,False
47,A,block_3,10,62,24,0,1.0,1.0,14.5,10,9,False,False
47,A,block_5,3,63,23,0,1.0,1.0,11.0,10,2,False,False
47,A,block_5,5,63,23,0,1.0,1.0,12.0,10,4,False,False
47,A,block_5,10,63,23,0,1.0,1.0,14.5,10,9,False,False
47,A,block_10,3,66,20,0,1.0,1.0,11.0,10,2,False,False
47,A,block_10,5,66,20,0,1.0,1.0,12.0,10,4,False,False
47,A,block_10,10,66,20,0,1.0,1.0,14.5,10,9,False,False
47,A,block_15,3,68,18,0,1.0,1.0,11.0,10,2,False,False
47,A,block_15,5,68,18,0,1.0,1.0,12.0,10,4,False,False
47,A,block_15,10,68,18,0,1.0,1.0,14.5,10,9,False,False
47,A,block_20,3,71,15,0,1.0,1.0,11.0,10,2,False,False
47,A,block_20,5,71,15,0,1.0,1.0,12.0,10,4,False,False
47,A,block_20,10,71,15,0,1.0,1.0,14.5,10,9,False,False
48,B,block_3,3,54,15,0,1.0,1.0,11.0,10,2,False,False
48,B,block_3,5,54,15,0,1.0,1.0,12.0,10,4,False,False
48,B,block_3,10,54,15,0,1.0,1.0,14.5,10,9,False,False
48,B,block_5,3,55,14,0,1.0,1.0,11.0,10,2,False,False
48,B,block_5,5,55,14,0,1.0,1.0,12.0,10,4,False,False
48,B,block_5,10,55,14,0,1.0,1.0,14.5,10,9,False,False
48,B,block_10,3,58,11,0,1.0,1.0,11.0,10,2,False,False
48,B,block_10,5,58,11,0,1.0,1.0,12.0,10,4,False,False
48,B,block_10,10,58,11,0,1.0,1.0,14.5,10,9,False,False
48,B,block_15,3,60,9,1,1.0,1.0,11.0,10,2,False,False
48,B,block_15,5,60,9,1,1.0,1.0,12.0,10,4,False,False
48,B,block_15,10,60,9,1,0.9,0.9,12.6,0,-10,True,True
48,B,block_20,3,63,6,1,1.0,1.0,11.0,10,2,False,False
48,B,block_20,5,63,6,1,1.0,1.0,12.0,10,4,False,False
