run_id,population,attack_mode,relock_window,first_drop_window,relock_to_drop_latency,drop_position_fraction,post_relock_max_duration,secondary_drop_count,secondary_drop_rate,labels
38,A,block_15,70.0,,16.0,1.0,16,0.0,0.0,stable_floor
38,A,block_20,73.0,,13.0,1.0,13,0.0,0.0,stable_floor
39,A,block_3,62.0,,24.0,1.0,24,0.0,0.0,stable_floor
39,A,block_5,63.0,,23.0,1.0,23,0.0,0.0,stable_floor
39,A,block_10,65.0,,21.0,1.0,21,0.0,0.0,stable_floor
39,A,block_15,68.0,,18.0,1.0,18,0.0,0.0,stable_floor
39,A,block_20,70.0,,16.0,1.0,16,0.0,0.0,stable_floor
40,A,block_3,62.0,,24.0,1.0,24,0.0,0.0,stable_floor
40,A,block_5,63.0,,23.0,1.0,23,0.0,0.0,stable_floor
40,A,block_10,66.0,,20.0,1.0,20,0.0,0.0,stable_floor
40,A,block_15,68.0,,18.0,1.0,18,0.0,0.0,stable_floor
40,A,block_20,71.0,,15.0,1.0,15,0.0,0.0,stable_floor
41,A,block_3,79.0,,7.0,1.0,7,0.0,0.0,stable_floor
41,A,block_5,80.0,,6.0,1.0,6,0.0,0.0,stable_floor
41,A,block_10,82.0,,4.0,1.0,4,0.0,0.0,stable_floor
41,A,block_15,85.0,,1.0,1.0,1,0.0,0.0,stable_floor
41,A,block_20,,,,,0,,,none
42,A,block_3,65.0,,21.0,1.0,21,0.0,0.0,stable_floor
42,A,block_5,66.0,,20.0,1.0,20,0.0,0.0,stable_floor
42,A,block_10,68.0,,18.0,1.0,18,0.0,0.0,stable_floor
42,A,block_15,71.0,,15.0,1.0,15,0.0,0.0,stable_floor
42,A,block_20,73.0,,13.0,1.0,13,0.0,0.0,stable_floor
43,A,block_3,55.0,65.0,10.0,0.3225806451612903,10,1.0,0.03225806451612903,oscillatory
43,A,block_5,56.0,65.0,9.0,0.3,10,1.0,0.03333333333333333,oscillatory
43,A,block_10,59.0,65.0,6.0,0.2222222222222222,10,1.0,0.037037037037037035,early_break;oscillatory
43,A,block_15,61.0,65.0,4.0,0.16,10,1.0,0.04,early_break;oscillatory
43,A,block_20,64.0,65.0,1.0,0.045454545454545456,10,1.0,0.045454545454545456,early_break;oscillatory;persistent_floor
44,A,block_3,59.0,82.0,23.0,0.8518518518518519,23,1.0,0.037037037037037035,stable_floor;oscillatory
44,A,block_5,60.0,82.0,22.0,0.8461538461538461,22,1.0,0.038461538461538464,stable_floor;oscillatory
44,A,block_10,63.0,82.0,19.0,0.8260869565217391,19,1.0,0.043478260869565216,stable_floor;oscillatory
44,A,block_15,65.0,82.0,17.0,0.8095238095238095,17,1.0,0.047619047619047616,stable_floor;oscillatory
44,A,block_20,68.0,82.0,14.0,0.7777777777777778,14,1.0,0.05555555555555555,stable_floor;oscillatory
45,A,block_3,61.0,,25.0,1.0,25,0.0,0.0,stable_floor
45,A,block_5,62.0,,24.0,1.0,24,0.0,0.0,stable_floor
45,A,block_10,65.0,,21.0,1.0,21,0.0,0.0,stable_floor
45,A,block_15,67.0,,19.0,1.0,19,0.0,0.0,stable_floor
45,A,block_20,70.0,,16.0,1.0,16,0.0,0.0,stable_floor
46,A,block_3,61.0,,25.0,1.0,25,0.0,0.0,stable_floor
46,A,block_5,62.0,,24.0,1.0,24,0.0,0.0,stable_floor
46,A,block_10,65.0,,21.0,1.0,21,0.0,0.0,stable_floor
46,A,block_15,67.0,,19.0,1.0,19,0.0,0.0,stable_floor
46,A,block_20,70.0,,16.0,1.0,16,0.0,0.0,stable_floor
47,A,block_3,62.0,,24.0,1.0,24,0.0,0.0,stable_floor
47,A,block_5,63.0,,23.0,1.0,23,0.0,0.0,stable_floor
47,A,block_10,66.0,,20.0,1.0,20,0.0,0.0,stable_floor
47,A,block_15,68.0,,18.0,1.0,18,0.0,0.0,stable_floor
47,A,block_20,71.0,,15.0,1.0,15,0.0,0.0,stable_floor
48,B,block_3,54.0,69.0,15.0,0.46875,15,1.0,0.03125,oscillatory
48,B,block_5,55.0,69.0,14.0,0.45161290322580644,14,1.0,0.03225806451612903,oscillatory
48,B,block_10,58.0,69.0,11.0,0.39285714285714285,11,1.0,0.03571428571428571,oscillatory
48,B,block_15,60.0,69.0,9.0,0.34615384615384615,9,1.0,0.038461538461538464,oscillatory
48,B,block_20,63.0,69.0,6.0,0.2608695652173913,6,1.0,0.043478260869565216,early_break;oscillatory;persistent_floor
49,A,block_3,74.0,,12.0,1.0,12,0.0,0.0,stable_floor
49,A,block_5,75.0,,11.0,1.0,11,0.0,0.0,stable_floor
49,A,block_10,77.0,,9.0,1.0,9,0.0,0.0,stable_floor
49,A,block_15,80.0,,6.0,1.0,6,0.0,0.0,stable_floor
49,A,block_20,82.0,,4.0,1.0,4,0.0,0.0,stable_floor
50,A,block_3,68.0,,18.0,1.0,18,0.0,0.0,stable_floor
50,A,block_5,69.0,,17.0,1.0,17,0.0,0.0,stable_floor
50,A,block_10,72.0,,14.0,1.0,14,0.0,0.0,stable_floor
50,A,block_15,74.0,,12.0,1.0,12,0.0,0.0,stable_floor
50,A,block_20,77.0,,9.0,1.0,9,0.0,0.0,stable_floor
