subset_size,subset_id,variables,normal_mass,f13_mass,delta_mass,retention_ratio
5,1,"xmeas_18,xmeas_26,xmeas_30,xmeas_4,xmeas_41",0.13635410468054515,0.14806648719414545,0.011712382513600295,1.0858968084052236
5,2,"xmeas_21,xmeas_30,xmeas_32,xmeas_39,xmeas_4",0.13935858427546094,0.13969995211606698,0.0003413678406060383,1.002449563779195
5,3,"xmeas_15,xmeas_18,xmeas_20,xmeas_32,xmeas_8",0.13104443501625396,0.29815629896302825,0.1671118639467743,2.2752305254208136
5,4,"xmeas_10,xmeas_18,xmeas_19,xmeas_21,xmeas_31",0.13932169089545812,0.6855864796695946,0.5462647887741365,4.920888303688079
5,5,"xmeas_11,xmeas_26,xmeas_32,xmeas_38,xmeas_7",0.13699098674107324,0.8095312083711086,0.6725402216300354,5.909375697178286
5,6,"xmeas_17,xmeas_28,xmeas_32,xmeas_35,xmeas_36",0.16982077786161717,0.17626818536316186,0.006447407501544683,1.0379659513926023
5,7,"xmeas_19,xmeas_2,xmeas_22,xmeas_31,xmeas_7",0.13246549179653455,0.35412429636300274,0.2216588045664682,2.6733324377008336
5,8,"xmeas_13,xmeas_16,xmeas_36,xmeas_37,xmeas_41",0.16651615244065665,0.19339140451439188,0.02687525207373523,1.1613972672541384
5,9,"xmeas_14,xmeas_18,xmeas_20,xmeas_27,xmeas_5",0.13078878721102788,0.3036053611427766,0.1728165739317487,2.3213408992070157
5,10,"xmeas_17,xmeas_26,xmeas_29,xmeas_33,xmeas_7",0.1550546415874547,0.1770405020973402,0.02198586050988552,1.141794274396523
5,11,"xmeas_16,xmeas_17,xmeas_31,xmeas_33,xmeas_37",0.14195222393342738,0.16802726458262554,0.02607504064919816,1.1836888483202483
5,12,"xmeas_1,xmeas_32,xmeas_33,xmeas_6,xmeas_8",0.15291028784956573,0.18293008479998785,0.030019796950422117,1.1963229371481108
5,13,"xmeas_11,xmeas_18,xmeas_23,xmeas_27,xmeas_32",0.1565078508077028,0.18454610394723747,0.028038253139534675,1.1791491792706912
5,14,"xmeas_10,xmeas_18,xmeas_28,xmeas_5,xmeas_6",0.1400780980986384,0.15240500772692817,0.012326909628289778,1.088000263330314
5,15,"xmeas_23,xmeas_24,xmeas_26,xmeas_3,xmeas_30",0.17433135277112446,0.17449252673671023,0.0001611739655857647,1.000924525984175
5,16,"xmeas_12,xmeas_14,xmeas_18,xmeas_2,xmeas_23",0.13416502866012217,0.13420085327233872,3.582461221654509e-05,1.0002670182576459
5,17,"xmeas_10,xmeas_2,xmeas_33,xmeas_34,xmeas_37",0.1587130458043179,0.16356154751086702,0.00484850170654913,1.0305488536176926
5,18,"xmeas_11,xmeas_17,xmeas_23,xmeas_26,xmeas_6",0.14230036596538156,0.1414145988175687,-0.0008857671478128548,0.9937753691553689
5,19,"xmeas_14,xmeas_16,xmeas_17,xmeas_33,xmeas_38",0.13077915543932855,0.14909903018312382,0.01831987474379526,1.140082527435238
5,20,"xmeas_19,xmeas_28,xmeas_29,xmeas_30,xmeas_4",0.1536221460388835,0.16079586536162108,0.007173719322737582,1.0466971683643327
5,21,"xmeas_20,xmeas_21,xmeas_28,xmeas_35,xmeas_6",0.1400756689875613,0.15506263532189174,0.014986966334330443,1.1069919303755893
5,22,"xmeas_12,xmeas_15,xmeas_25,xmeas_26,xmeas_40",0.14041685246463803,0.13765169078047132,-0.0027651616841667115,0.9803074792401159
5,23,"xmeas_13,xmeas_15,xmeas_21,xmeas_37,xmeas_40",0.16450722752365676,0.16433398075861655,-0.00017324676504021363,0.9989468738392665
5,24,"xmeas_11,xmeas_30,xmeas_31,xmeas_36,xmeas_40",0.15467417251004845,0.1708516360153851,0.016177463505336664,1.1045905928077722
5,25,"xmeas_18,xmeas_3,xmeas_37,xmeas_4,xmeas_6",0.13058881386801874,0.1344690210484566,0.0038802071804378557,1.029713165795258
5,26,"xmeas_12,xmeas_22,xmeas_23,xmeas_31,xmeas_8",0.14315072265324397,0.14138799064276006,-0.0017627320104839084,0.9876861808548293
5,27,"xmeas_13,xmeas_18,xmeas_19,xmeas_26,xmeas_28",0.14263530483101539,0.731386415113863,0.5887511102828477,5.127667483640135
5,28,"xmeas_18,xmeas_24,xmeas_25,xmeas_31,xmeas_4",0.1553326999335953,0.1795461646321,0.02421346469850469,1.1558813089147861
5,29,"xmeas_13,xmeas_26,xmeas_28,xmeas_6,xmeas_7",0.1381203357591321,0.1499313903728589,0.011811054613726807,1.0855127844879613
5,30,"xmeas_12,xmeas_24,xmeas_37,xmeas_40,xmeas_7",0.16356124102685282,0.1651300535418722,0.001568812515019391,1.00959159030716
5,31,"xmeas_1,xmeas_11,xmeas_18,xmeas_39,xmeas_6",0.1274145649961302,0.16843295164618338,0.041018386650053196,1.3219285528236597
5,32,"xmeas_11,xmeas_19,xmeas_21,xmeas_27,xmeas_4",0.13149816539318657,0.19855735422258622,0.06705918882939965,1.509962922128174
5,33,"xmeas_11,xmeas_18,xmeas_21,xmeas_32,xmeas_40",0.12692759521585348,0.16787409838423206,0.040946503168378584,1.322597327763794
5,34,"xmeas_1,xmeas_11,xmeas_15,xmeas_17,xmeas_34",0.14353435196456615,0.15098961849204987,0.0074552665274837115,1.0519406422243094
5,35,"xmeas_12,xmeas_13,xmeas_22,xmeas_28,xmeas_5",0.13246624010190505,0.23742509152866956,0.1049588514267645,1.792344156267938
5,36,"xmeas_25,xmeas_28,xmeas_29,xmeas_32,xmeas_38",0.16980156518021552,0.16754700114050808,-0.0022545640397074462,0.9867223595024766
5,37,"xmeas_10,xmeas_2,xmeas_37,xmeas_6,xmeas_9",0.13694209960750214,0.13862478184027738,0.0016826822327752344,1.012287544417453
5,38,"xmeas_14,xmeas_18,xmeas_31,xmeas_32,xmeas_39",0.13782817065014347,0.16425618676440643,0.02642801611426296,1.1917461130799738
5,39,"xmeas_11,xmeas_20,xmeas_24,xmeas_36,xmeas_41",0.13988385694464717,0.24361255290411432,0.10372869595946715,1.7415344275670046
5,40,"xmeas_12,xmeas_17,xmeas_2,xmeas_39,xmeas_41",0.1594001536759118,0.15653506634921047,-0.002865087326701321,0.9820258176743724
5,41,"xmeas_32,xmeas_34,xmeas_36,xmeas_5,xmeas_9",0.1555036399576775,0.15965719346413185,0.004153553506454355,1.0267103291274324
5,42,"xmeas_13,xmeas_16,xmeas_17,xmeas_26,xmeas_29",0.1394308904670308,0.1771870667540324,0.03775617628700159,1.270787743185578
5,43,"xmeas_1,xmeas_10,xmeas_15,xmeas_38,xmeas_39",0.16709634189053868,0.15789836678735103,-0.00919797510318765,0.9449540600732692
