condition,pair_group,count,mean,median,std,min,max,p10,p25,p50,p75,p90,sub_threshold_rate,above_threshold_rate
F01,XMEAS7-XMEAS11,57,0.7796157059314954,0.75,0.11017076147714921,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.75,0.8,1.0,0.6140350877192983,0.22807017543859648
F01,other,83,0.6313300822336967,0.625,0.11018060163147696,0.4444444444444444,0.8888888888888888,0.5,0.5555555555555556,0.625,0.6904761904761905,0.8,0.8674698795180723,0.08433734939759036
F06,XMEAS7-XMEAS11,140,0.8338945578231292,0.8452380952380952,0.09019780141632867,0.6666666666666666,1.0,0.6666666666666666,0.8,0.8452380952380952,0.875,1.0,0.24285714285714285,0.6285714285714286
F06,other,0,,,,,,,,,,,,
NORMAL,XMEAS7-XMEAS11,2,0.7857142857142857,0.7857142857142857,0.30304576336566325,0.5714285714285714,1.0,0.6142857142857142,0.6785714285714286,0.7857142857142857,0.8928571428571428,0.9571428571428572,0.5,0.5
NORMAL,other,138,0.6409851621808144,0.625,0.11757648340772983,0.4444444444444444,1.0,0.5,0.5595238095238095,0.625,0.7023809523809523,0.8,0.8913043478260869,0.06521739130434782
