run_id,t_single_alarm,t_relation_detect,lead_time,switching_mean,dominance_mean,dominant_pair,d2_post_mean,d2_pre_mean
1,200,,,0.44841269841269843,0.798422619047619,XMEAS7-XMEAS10,0.7353162292904056,0.8166128257839826
2,310,,,0.4867311507936508,0.8161111111111111,XMEAS8-XMEAS9,0.8505042923086912,0.7250455763751723
3,200,280.0,-80.0,0.4195188492063492,0.7831597222222222,XMEAS8-XMEAS11,1.1108726957341986,0.8858078311969958
4,240,,,0.4138392857142857,0.793422619047619,XMEAS7-XMEAS9,0.881740451158608,0.4502887380876072
5,500,880.0,-380.0,0.4346478174603174,0.8340128968253968,XMEAS8-XMEAS10,0.9162535041667702,1.3961066631739527
6,200,590.0,-390.0,0.3236607142857143,0.8802628968253969,XMEAS10-XMEAS11,0.9341458847403938,1.0599921493360958
7,200,,,0.45997023809523807,0.7761111111111111,XMEAS8-XMEAS11,0.6776883316273598,0.9131216860866295
8,320,,,0.49747023809523816,0.8506597222222222,XMEAS9-XMEAS10,0.788203461439236,0.4528413994995555
9,200,,,0.4271329365079365,0.8244097222222223,XMEAS7-XMEAS10,0.6487242050951357,1.5266296768052932
10,200,,,0.41646825396825404,0.778874007936508,XMEAS9-XMEAS11,0.7891425657322628,0.746111585943163
11,310,640.0,-330.0,0.32589285714285715,0.8767757936507937,XMEAS7-XMEAS8,1.0165782576506204,0.3807804766933455
12,200,,,0.33516865079365077,0.8102628968253969,XMEAS8-XMEAS9,0.749241751275299,0.9264298386725391
13,320,,,0.39444444444444443,0.78875,XMEAS7-XMEAS8,0.7984622320879231,1.4198259384481304
14,290,240.0,50.0,0.4845982142857143,0.814672619047619,XMEAS7-XMEAS8,1.2965818263219648,0.7953863375193587
15,200,,,0.40518353174603183,0.8023115079365081,XMEAS7-XMEAS9,0.7606435832976646,0.9232080770774532
16,200,,,0.43990575396825393,0.8290128968253967,XMEAS10-XMEAS11,0.7053487645514694,0.9134547703595901
17,210,,,0.48742559523809526,0.7612500000000001,XMEAS8-XMEAS11,0.7461891864674687,0.6627976826150146
18,240,,,0.38182043650793657,0.768874007936508,XMEAS8-XMEAS9,0.575151152160367,0.6164468368813104
19,360,,,0.439781746031746,0.775922619047619,XMEAS8-XMEAS11,0.8098052940838105,0.4777447478986329
20,200,390.0,-190.0,0.37688492063492063,0.8474355158730159,XMEAS8-XMEAS10,1.0754778140744492,0.8746470954961346
21,370,,,0.46956845238095235,0.7838244047619047,XMEAS8-XMEAS9,0.6788716993795377,0.41060640458559483
22,300,,,0.4567460317460318,0.8711111111111112,XMEAS8-XMEAS10,0.8194079313199367,1.1423233910943427
23,260,,,0.42948908730158736,0.7361111111111112,XMEAS8-XMEAS9,0.6193689781987672,0.8246620732550981
24,200,,,0.4571924603174603,0.829861111111111,XMEAS8-XMEAS11,0.8754559786618994,0.7748561386876799
25,200,,,0.4178075396825397,0.8375,XMEAS8-XMEAS9,0.8749832894887526,1.1913437471890322
26,200,,,0.4156498015873016,0.865922619047619,XMEAS8-XMEAS9,0.8021269615741694,0.8349707513457786
27,300,,,0.2941964285714286,0.8682886904761904,XMEAS8-XMEAS9,1.1810244834027634,0.9694604857816858
28,420,,,0.40188492063492065,0.8423611111111112,XMEAS8-XMEAS9,0.7374950732342027,1.25392382937801
29,330,,,0.3053075396825397,0.8520386904761906,XMEAS7-XMEAS8,0.6728231191592788,0.7287720003948164
30,200,,,0.33464781746031746,0.85875,XMEAS8-XMEAS9,0.7629585209946621,0.8051460599201244
31,230,,,0.426140873015873,0.8174999999999999,XMEAS8-XMEAS9,0.7323848884300919,1.9756962212732712
32,200,,,0.3879464285714286,0.8036111111111112,XMEAS9-XMEAS10,0.9366286103771404,1.433264668515508
33,280,,,0.44186507936507935,0.8177628968253968,XMEAS9-XMEAS11,0.7555444226452779,0.4431970374940728
34,200,,,0.527157738095238,0.81375,XMEAS7-XMEAS10,0.5730945636022586,0.8619337106129598
35,300,,,0.3995039682539683,0.8231597222222223,XMEAS7-XMEAS10,0.7353660487242333,1.1019963080361244
36,200,,,0.427703373015873,0.8200744047619046,XMEAS8-XMEAS9,0.6969098230256376,0.7172802506532796
37,220,,,0.5678075396825396,0.8474999999999999,XMEAS9-XMEAS10,0.7507646266493047,0.7318774738674159
38,270,,,0.402703373015873,0.8074999999999999,XMEAS10-XMEAS11,0.8604772233680226,0.7928102657039652
39,310,,,0.4674355158730159,0.8074999999999999,XMEAS8-XMEAS9,0.7900673454645297,1.1131303278247924
40,260,,,0.3219742063492063,0.8175000000000001,XMEAS8-XMEAS10,0.9106111026038939,0.82205150904127
41,210,,,0.4557539682539683,0.8036855158730158,XMEAS8-XMEAS10,0.7047950151319597,0.8656347630539841
42,200,,,0.3820188492063492,0.8217757936507937,XMEAS10-XMEAS11,0.7924900005242648,0.6826595337355897
43,280,,,0.3623759920634921,0.7727628968253969,XMEAS7-XMEAS9,0.57562249535798,0.9845343880361385
44,200,,,0.3826884920634921,0.8324999999999999,XMEAS7-XMEAS10,0.8604371632271782,1.57068853555787
45,210,420.0,-210.0,0.45322420634920635,0.7894097222222223,XMEAS8-XMEAS9,0.9153445713741462,1.9271313725166734
46,310,,,0.49355158730158727,0.7756597222222222,XMEAS8-XMEAS10,0.8178841108337593,0.5983830581245263
47,230,,,0.36029265873015875,0.8575000000000002,XMEAS7-XMEAS8,0.8890406990384477,0.9910105516527518
48,230,,,0.502827380952381,0.7590128968253969,XMEAS7-XMEAS10,0.8777527169799682,1.3008397574405428
49,200,,,0.3010168650793651,0.8285515873015875,XMEAS7-XMEAS10,0.8642571421607205,0.6807155570415168
50,200,,,0.46426091269841263,0.8150000000000001,XMEAS7-XMEAS10,0.7794618120087702,0.31534976028325085
51,200,,,0.4330853174603174,0.8091369047619048,XMEAS7-XMEAS10,0.7361012051604086,0.5714430110303744
52,340,,,0.3342261904761905,0.7917757936507936,XMEAS8-XMEAS9,1.0147457524359915,0.3982585623907517
53,200,,,0.5614335317460316,0.73625,XMEAS7-XMEAS8,0.637831890678021,0.5081068885266404
54,200,,,0.36932043650793656,0.8237500000000001,XMEAS8-XMEAS9,0.8527768456970846,0.9466608038912424
55,310,,,0.36098710317460314,0.8275,XMEAS7-XMEAS9,0.7865177516758749,1.225744216759799
56,280,,,0.4166666666666667,0.8550000000000001,XMEAS8-XMEAS10,0.7739340185178165,0.5390344780444912
57,220,,,0.4121775793650794,0.8936111111111114,XMEAS8-XMEAS9,0.7333751251946663,0.7298725758393895
58,200,,,0.45,0.8212499999999998,XMEAS8-XMEAS9,0.5634128241095521,0.8889312820209584
59,290,,,0.4528521825396825,0.7663244047619047,XMEAS8-XMEAS9,0.9919223999015306,0.27886809400259505
60,200,,,0.44134424603174605,0.8281597222222222,XMEAS7-XMEAS9,0.888940134307364,0.4211734289511773
61,250,,,0.48606150793650793,0.7942757936507937,XMEAS7-XMEAS10,0.8405856259984791,1.0284920336208108
62,200,,,0.3969742063492064,0.7870386904761905,XMEAS7-XMEAS8,1.097807561919857,0.733831602126831
63,250,,,0.40421626984126985,0.7982886904761904,XMEAS10-XMEAS11,0.8636046576969711,0.5152848779291327
64,200,,,0.3275793650793651,0.855262896825397,XMEAS8-XMEAS11,0.9194081128643414,0.8844420676334451
65,230,,,0.42752976190476194,0.8274999999999999,XMEAS10-XMEAS11,0.9006421526383817,1.4131376328931016
66,260,,,0.32562003968253966,0.8598611111111112,XMEAS8-XMEAS9,0.8102772076584944,0.9632702046405077
67,200,,,0.2902281746031746,0.8606597222222223,XMEAS8-XMEAS9,0.7721550030171078,0.7680366656802647
68,200,,,0.38365575396825397,0.8087500000000001,XMEAS8-XMEAS9,0.7504244519549659,0.778637508190756
69,200,,,0.33725198412698415,0.8090128968253968,XMEAS8-XMEAS9,0.7568603453592039,0.8702061630985928
70,200,,,0.42063492063492064,0.7913244047619048,XMEAS10-XMEAS11,0.6992873833311373,0.5943217272611748
71,290,,,0.4479910714285714,0.822311507936508,XMEAS8-XMEAS10,0.8012633536841017,0.6842516012102875
72,240,,,0.394890873015873,0.8236111111111111,XMEAS8-XMEAS10,0.8265223291410007,0.763972690296082
73,200,,,0.6095238095238095,0.7881597222222222,XMEAS8-XMEAS9,0.7235275436014923,0.6696853075107657
74,200,,,0.3882688492063492,0.8341369047619047,XMEAS10-XMEAS11,0.6754849773350811,0.7641296704514297
75,200,,,0.4875,0.80625,XMEAS8-XMEAS10,0.7390781714585977,0.9559234323377264
76,560,,,0.4735615079365079,0.8099355158730159,XMEAS8-XMEAS9,0.7567855721556036,0.4933269349856106
77,200,,,0.48169642857142847,0.7465128968253968,XMEAS8-XMEAS9,0.6143889850311449,0.5665860579269605
78,280,,,0.363640873015873,0.831111111111111,XMEAS7-XMEAS11,0.9113860125201338,0.5099714411345118
79,260,810.0,-550.0,0.3194444444444445,0.8300000000000001,XMEAS8-XMEAS10,1.0020911088853124,0.8995959669497173
80,310,,,0.448859126984127,0.8109226190476193,XMEAS8-XMEAS10,0.7521374049881111,0.6595707432617336
81,200,800.0,-600.0,0.3650297619047619,0.8425,XMEAS10-XMEAS11,0.9327768544052997,0.7017836843420598
82,300,,,0.4593501984126984,0.8367757936507936,XMEAS8-XMEAS11,0.7739367725086138,0.4951534122607016
83,290,,,0.34992559523809524,0.8142757936507937,XMEAS8-XMEAS10,0.8890879153798045,0.949265254498714
84,200,,,0.30989583333333337,0.7962499999999999,XMEAS7-XMEAS10,0.9035818827533053,1.089976212855586
85,450,,,0.35126488095238095,0.82125,XMEAS8-XMEAS9,0.8691808403667103,1.1089172326897585
86,200,,,0.364905753968254,0.7705257936507935,XMEAS7-XMEAS10,0.9115562437537506,0.4669813546866504
87,240,,,0.39873511904761905,0.7790873015873017,XMEAS8-XMEAS9,0.9617025575181858,0.5614677304748151
88,200,,,0.29129464285714285,0.8530257936507937,XMEAS8-XMEAS9,0.9396787679326655,0.6275883056254519
89,200,,,0.44823908730158724,0.8561111111111112,XMEAS8-XMEAS11,0.6347316457671528,0.7886605996009431
90,240,,,0.44722222222222213,0.835,XMEAS7-XMEAS8,0.6566869277744409,0.9823269181885624
91,360,,,0.3926835317460317,0.8485615079365079,XMEAS8-XMEAS11,0.8414756559614955,1.265978794561707
92,350,,,0.40032242063492063,0.8637499999999999,XMEAS8-XMEAS9,0.8373331509072512,0.566358259275945
93,230,,,0.37740575396825393,0.8191369047619048,XMEAS8-XMEAS10,0.8185743508325751,0.4601797112704225
94,220,,,0.5030257936507937,0.771185515873016,XMEAS9-XMEAS10,0.5534475190601715,0.4480822591061997
95,390,,,0.30796130952380957,0.8299355158730158,XMEAS8-XMEAS9,0.8950080562755529,1.002256457611989
96,270,,,0.6152777777777778,0.752172619047619,XMEAS8-XMEAS9,0.6167857392972694,0.2728178775810641
97,200,720.0,-520.0,0.3621279761904762,0.8350000000000002,XMEAS8-XMEAS10,1.0503432828525956,0.6872459494592379
98,200,,,0.32435515873015874,0.8020486111111111,XMEAS10-XMEAS11,0.6679638736146835,0.7077462019527224
99,230,,,0.3307291666666667,0.8400000000000001,XMEAS8-XMEAS9,0.9682444523780684,0.8446552825881809
100,200,,,0.4499255952380953,0.8028869047619048,XMEAS7-XMEAS8,0.9812236636760115,1.0944488854862848
101,200,,,0.33018353174603177,0.8738740079365079,XMEAS8-XMEAS9,0.8594486932255346,0.8725550320658365
102,290,850.0,-560.0,0.3595238095238096,0.8020486111111111,XMEAS7-XMEAS11,0.9764704871553768,0.5829823883392276
103,340,,,0.3933035714285714,0.7985515873015874,XMEAS8-XMEAS9,0.6380350785717347,0.4635470496444756
104,310,,,0.4114335317460318,0.8125,XMEAS7-XMEAS8,0.8219237235692052,1.4395457644812921
105,200,,,0.276264880952381,0.81875,XMEAS10-XMEAS11,0.7903418390342635,0.863880403105247
106,200,,,0.3721478174603175,0.86875,XMEAS8-XMEAS9,0.7940602487159312,1.3366534015809268
107,250,,,0.376264880952381,0.9075,XMEAS9-XMEAS10,0.7437635590892642,0.7428009411519253
108,200,440.0,-240.0,0.3860367063492064,0.80375,XMEAS8-XMEAS9,0.8007483644601765,0.6248286640057739
109,200,,,0.4193700396825397,0.7752628968253968,XMEAS8-XMEAS9,0.7019920738727026,0.9435639461219504
110,430,600.0,-170.0,0.4221478174603175,0.8281597222222222,XMEAS8-XMEAS9,0.9739622482647601,0.7001772243072765
111,200,,,0.4680059523809524,0.7900744047619048,XMEAS8-XMEAS9,0.7308881444744839,0.761763923314077
112,200,,,0.5210317460317461,0.8260615079365079,XMEAS8-XMEAS11,0.854189756954,1.0690603498153617
113,280,,,0.5422867063492063,0.83625,XMEAS8-XMEAS9,0.6816502929597745,0.9357273261865998
114,200,,,0.3984871031746032,0.7765128968253968,XMEAS9-XMEAS10,0.7808834288964566,1.8747482081935107
115,510,360.0,150.0,0.3176835317460317,0.82,XMEAS10-XMEAS11,0.9616242065367958,1.1156285154520404
116,260,,,0.46842757936507945,0.8325000000000001,XMEAS8-XMEAS9,0.6880842356297733,0.5713593759374996
117,220,,,0.4741815476190475,0.8324999999999999,XMEAS7-XMEAS10,0.8637659382860757,1.2637935537069982
118,200,,,0.3849206349206349,0.8867757936507935,XMEAS9-XMEAS10,0.9788165694036121,0.3217978383029351
119,470,,,0.3332093253968254,0.8080257936507937,XMEAS8-XMEAS9,0.8978367650818614,0.726444052299188
120,310,,,0.33296130952380953,0.8225000000000001,XMEAS7-XMEAS10,0.650644194803386,2.1392813280661054
121,300,,,0.4934275793650794,0.8484226190476191,XMEAS10-XMEAS11,0.8869992328964514,0.5067750785804495
122,410,,,0.44077380952380957,0.80625,XMEAS7-XMEAS9,0.8396406692300274,0.5210377068419259
123,200,,,0.4486855158730159,0.7655257936507937,XMEAS10-XMEAS11,0.9515596938074641,0.47195241439457475
124,200,,,0.5513144841269841,0.7913740079365079,XMEAS7-XMEAS10,0.5892464654505669,0.5509448012832496
125,250,,,0.4368799603174603,0.7915128968253968,XMEAS8-XMEAS9,0.5641620532536041,0.7695871299427606
126,350,,,0.29184027777777777,0.89,XMEAS8-XMEAS9,1.0598470293955053,1.1198956780883222
127,210,,,0.46257440476190476,0.8023115079365081,XMEAS7-XMEAS10,0.6548173347177679,0.28590184622943715
128,210,,,0.34362599206349204,0.8,XMEAS7-XMEAS9,0.7317328248844048,2.009397971085765
129,200,,,0.4344742063492063,0.7892757936507937,XMEAS8-XMEAS9,0.8975136108645756,0.85905731445453
130,200,,,0.4004960317460317,0.777172619047619,XMEAS8-XMEAS9,0.7039065279937047,1.1965019091522957
131,200,,,0.3650793650793651,0.8171726190476191,XMEAS8-XMEAS10,0.8765397420746414,0.4245352588394931
132,210,,,0.46143353174603174,0.828561507936508,XMEAS8-XMEAS10,0.9748657949742331,1.0760934496977888
133,470,380.0,90.0,0.2922867063492064,0.797172619047619,XMEAS10-XMEAS11,0.8715544210343342,0.5237241698495914
134,300,,,0.49980158730158725,0.7726240079365079,XMEAS7-XMEAS10,0.7605942445544308,0.7635664714563172
135,480,,,0.30277777777777776,0.9100000000000001,XMEAS8-XMEAS10,0.872792346085307,0.83918798434466
136,200,,,0.37462797619047616,0.8425,XMEAS8-XMEAS10,0.8680392515409657,0.8961884909421247
137,200,,,0.30339781746031746,0.8252628968253969,XMEAS8-XMEAS9,0.96587744396809,1.0434219100107665
138,260,,,0.5866071428571429,0.7787499999999999,XMEAS7-XMEAS10,0.6599410966518878,1.2605564602512234
139,200,,,0.4800595238095238,0.7627628968253968,XMEAS7-XMEAS10,0.8071316734369807,1.1600125200156117
140,240,,,0.48497023809523804,0.77625,XMEAS10-XMEAS11,0.7055005447003176,1.3512637377745376
141,300,,,0.3556051587301588,0.7710615079365079,XMEAS9-XMEAS10,0.7129589529005254,0.8665454911247928
142,200,,,0.3830853174603175,0.8173611111111111,XMEAS7-XMEAS10,0.8597495285088221,0.42727917087372075
143,300,240.0,60.0,0.4482886904761905,0.7999355158730159,XMEAS8-XMEAS9,0.8817616498584127,0.5324293128768799
144,370,,,0.4501736111111111,0.7787499999999999,XMEAS9-XMEAS10,0.5914584482553057,1.2713152858264585
145,230,,,0.3914186507936508,0.849861111111111,XMEAS8-XMEAS9,0.9215233250155566,1.0065617344241418
146,440,,,0.3900297619047619,0.8175000000000001,XMEAS7-XMEAS8,0.8263720616381928,0.9302534231287855
147,270,,,0.47222222222222215,0.76875,XMEAS8-XMEAS9,0.7410521648663586,1.485433103133203
148,240,,,0.3294890873015873,0.802172619047619,XMEAS8-XMEAS9,0.9837589448360472,0.8380233475893023
149,280,,,0.42909226190476185,0.7965128968253967,XMEAS9-XMEAS11,0.7351519059255309,0.42854136965009393
150,200,,,0.44853670634920634,0.7690128968253968,XMEAS8-XMEAS9,0.6747746887806734,1.0168691379454837
151,310,,,0.2777777777777778,0.8074999999999999,XMEAS8-XMEAS9,0.9101297182423519,1.1763752799302234
152,200,,,0.523809523809524,0.7674999999999998,XMEAS8-XMEAS10,0.5275382464872826,0.6134062975205943
153,260,,,0.43990575396825393,0.7575,XMEAS8-XMEAS9,0.8452777169616026,0.6183924000806532
154,200,,,0.4496279761904761,0.8517757936507937,XMEAS9-XMEAS11,0.6530646583805177,0.31994126392318867
155,290,,,0.2772817460317461,0.8840873015873015,XMEAS8-XMEAS9,0.7104925244510865,0.4436864707197852
156,270,,,0.3571924603174604,0.824012896825397,XMEAS10-XMEAS11,0.8000394412960892,1.3870215292214
157,270,,,0.3767113095238095,0.7794097222222222,XMEAS8-XMEAS9,0.7285919714619149,0.5326591296323463
158,200,,,0.3665426587301588,0.86,XMEAS7-XMEAS9,0.7872611383996476,0.7646621965622397
159,290,,,0.3803571428571429,0.7737499999999999,XMEAS8-XMEAS9,0.7507428577773464,0.7798101679257012
160,270,,,0.38157242063492064,0.8612499999999998,XMEAS9-XMEAS11,0.8470077288815425,1.3589879095959667
161,220,,,0.4777281746031747,0.7728373015873016,XMEAS7-XMEAS10,0.8310308740919068,0.631979602142975
162,340,,,0.38447420634920637,0.8450000000000001,XMEAS10-XMEAS11,0.7924198689032408,1.2114785713243104
163,370,,,0.3100446428571429,0.7586855158730159,XMEAS7-XMEAS10,0.7753932225370774,1.061149842629699
164,200,,,0.427579365079365,0.82875,XMEAS8-XMEAS9,1.0133238751019529,0.5022275863207434
165,380,250.0,130.0,0.34558531746031745,0.826185515873016,XMEAS7-XMEAS9,0.9640282170873856,0.7691890966119201
166,260,,,0.42259424603174606,0.8045386904761905,XMEAS8-XMEAS11,0.9284702425634922,0.5516893389890597
167,310,590.0,-280.0,0.40997023809523814,0.8627628968253969,XMEAS7-XMEAS11,1.2183032104509093,0.6701214750268885
168,310,,,0.5287946428571428,0.8037500000000002,XMEAS8-XMEAS9,0.7697582435229233,1.3677965265830412
169,320,,,0.4156001984126984,0.7984226190476191,XMEAS8-XMEAS11,0.8825958813023084,1.2506860960544108
170,200,,,0.3760168650793651,0.8442757936507936,XMEAS8-XMEAS10,0.9462617286002754,0.5642022269201189
171,200,,,0.49186507936507934,0.8077628968253968,XMEAS8-XMEAS9,0.8859455918158808,0.9054643794304275
172,200,,,0.3928075396825397,0.8637499999999999,XMEAS9-XMEAS11,0.7600871723559942,0.5379399701931565
173,230,,,0.3938244047619047,0.8242757936507935,XMEAS8-XMEAS9,0.9826196612847881,0.5214112663496181
174,250,,,0.47728174603174606,0.7400744047619047,XMEAS8-XMEAS10,0.6493560921093658,0.7080242839384274
175,330,,,0.38023313492063493,0.8521726190476191,XMEAS8-XMEAS10,0.784976406844429,0.5841729034582215
176,200,,,0.30694444444444446,0.8725000000000002,XMEAS8-XMEAS10,1.0094311430413248,1.0225037059397508
177,330,,,0.32752976190476196,0.8324999999999999,XMEAS7-XMEAS8,0.7516498064594198,1.3692963295980485
178,200,,,0.4823164682539682,0.81875,XMEAS8-XMEAS10,0.7790349968469725,0.9373414227410678
179,210,,,0.4866071428571429,0.8034226190476191,XMEAS9-XMEAS10,0.7980741837754906,1.0152644538712885
180,310,,,0.4370535714285714,0.8425,XMEAS7-XMEAS10,0.9901761392203678,0.5550225101243482
181,260,,,0.40384424603174607,0.800124007936508,XMEAS8-XMEAS9,0.7361823504921181,0.6876589373482428
182,200,,,0.3540426587301588,0.7892757936507937,XMEAS7-XMEAS11,0.7883684132035453,0.8791958540729432
183,240,,,0.3495039682539683,0.9012499999999999,XMEAS9-XMEAS10,1.0341473553649627,0.5234410391933056
184,250,,,0.4457589285714286,0.7586111111111111,XMEAS8-XMEAS9,0.736001887056353,0.7977281123111942
185,200,,,0.4122519841269841,0.7911111111111111,XMEAS8-XMEAS10,0.7814885310409734,0.7486282759861699
186,290,,,0.36617063492063495,0.7632886904761904,XMEAS8-XMEAS9,0.7388797649495492,0.3721763878435882
187,250,,,0.41324404761904765,0.7925000000000001,XMEAS8-XMEAS9,0.8020060334507347,1.2387679247762875
188,210,,,0.4899553571428572,0.7667757936507936,XMEAS8-XMEAS10,0.7365868723619798,1.221024441791555
189,220,200.0,20.0,0.5053075396825397,0.8303869047619049,XMEAS8-XMEAS9,0.9892727238373162,0.6990237630226463
190,290,,,0.45384424603174606,0.8702628968253968,XMEAS8-XMEAS9,0.782892619431691,1.0919432245984668
191,200,,,0.4469742063492063,0.8,XMEAS9-XMEAS11,0.7556896722111885,0.5647120519056346
192,230,,,0.3250496031746032,0.836111111111111,XMEAS8-XMEAS9,0.7955878004596828,0.7580525086606383
193,330,,,0.33459821428571435,0.8067757936507938,XMEAS7-XMEAS9,0.670336399604253,0.6640175633118354
194,200,,,0.36867559523809523,0.8536111111111111,XMEAS10-XMEAS11,1.0017843519014191,0.6914227500667871
195,200,,,0.5002480158730159,0.8060615079365079,XMEAS7-XMEAS11,0.919807895077728,0.6448782515116837
196,200,,,0.28435019841269843,0.8487500000000001,XMEAS8-XMEAS9,0.8686718027185105,0.9472384071209282
197,200,,,0.384796626984127,0.8388740079365078,XMEAS8-XMEAS9,0.9486052920180317,0.6790543033790969
198,200,,,0.5017609126984126,0.7737499999999999,XMEAS7-XMEAS9,0.6528284194205276,0.6806732095152334
199,200,,,0.43030753968253965,0.783422619047619,XMEAS10-XMEAS11,0.6179505294986527,0.7438892519059026
200,290,,,0.4457589285714286,0.7761111111111111,XMEAS8-XMEAS9,0.7360552140991263,0.7754818077949829
201,200,,,0.43851686507936505,0.746374007936508,XMEAS8-XMEAS10,0.7958690952325951,0.7575551935525663
202,310,,,0.37214781746031744,0.8462500000000001,XMEAS9-XMEAS10,0.8863019608895257,0.6507325342002985
203,200,,,0.42614087301587295,0.8150000000000001,XMEAS7-XMEAS10,0.9431951171464199,0.6093263486347805
204,230,,,0.24918154761904762,0.8144097222222222,XMEAS8-XMEAS9,0.6945541679711976,0.6466557210102223
205,200,,,0.4164186507936508,0.811512896825397,XMEAS7-XMEAS8,0.9240116660620104,0.6820740304421916
206,340,220.0,120.0,0.4018353174603175,0.8317757936507935,XMEAS8-XMEAS9,0.9844928124742687,0.5680888194935428
207,210,,,0.5128224206349207,0.8188740079365079,XMEAS8-XMEAS9,0.6265887195272279,1.4387879830240167
208,260,530.0,-270.0,0.3083333333333333,0.8375,XMEAS8-XMEAS9,0.8507571352671972,0.6213839320960691
209,200,,,0.4323164682539682,0.7605257936507936,XMEAS7-XMEAS10,0.8297528776795708,0.38272815188314196
210,210,350.0,-140.0,0.3713293650793651,0.8016369047619047,XMEAS8-XMEAS9,1.0002570076292767,0.5441216270610861
211,200,,,0.451140873015873,0.8550000000000001,XMEAS7-XMEAS10,0.6930791854902837,0.7846372765774303
212,250,,,0.42234623015873024,0.7927628968253968,XMEAS8-XMEAS10,0.7896877824817438,0.9703446766255746
213,260,,,0.46242559523809523,0.771185515873016,XMEAS8-XMEAS9,0.8350584295583907,1.8308549045242983
214,300,,,0.43851686507936505,0.8681597222222223,XMEAS10-XMEAS11,0.8997358681197346,0.7951754569273058
215,200,780.0,-580.0,0.476016865079365,0.7580257936507937,XMEAS8-XMEAS9,0.8816798143793066,0.5575091597514453
216,210,,,0.4028521825396826,0.7688244047619047,XMEAS8-XMEAS11,0.8603054679195422,0.31394164004559394
217,260,,,0.3531498015873016,0.8106597222222222,XMEAS7-XMEAS8,0.8955392030573206,1.1176499507359772
218,440,200.0,240.0,0.3082093253968254,0.9180257936507937,XMEAS8-XMEAS9,1.186702414382569,1.571173143248896
219,200,,,0.4110615079365079,0.86,XMEAS8-XMEAS9,0.8804835756140547,0.5822302182398141
220,200,,,0.37348710317460315,0.776061507936508,XMEAS8-XMEAS9,0.8187248953365167,0.6618371236708622
221,200,,,0.38598710317460316,0.8550000000000001,XMEAS8-XMEAS9,0.8308161190206643,0.6490097641876746
222,200,,,0.43187003968253973,0.8724999999999998,XMEAS8-XMEAS9,0.8726125217515541,1.4508156790848095
223,270,,,0.4092261904761904,0.8215128968253967,XMEAS8-XMEAS9,0.8246877318566863,0.8534416971572657
224,200,,,0.513640873015873,0.7680257936507937,XMEAS8-XMEAS9,0.8293669908604138,1.0706359478124143
225,310,,,0.3733630952380953,0.8794097222222221,XMEAS7-XMEAS10,1.0627958699281768,0.6088836113301558
226,200,,,0.3307539682539683,0.8487500000000001,XMEAS7-XMEAS10,0.8126467963445425,0.4602973204004727
227,200,,,0.5357390873015873,0.765,XMEAS8-XMEAS9,0.735170949638329,1.849821138837249
