fault_number,max_stationary_pair,max_stationary_occupancy,stationary_entropy,stationary_entropy_norm,transition_entropy,diagonal_mass
0,XMEAS8-XMEAS9,0.23745926551764085,2.129017909139032,0.9246207298122804,16.0238192753,0.5521592469466403
1,XMEAS7-XMEAS11,0.2450536850923865,2.1253313908360836,0.9230196952558745,14.659597837696268,0.6019584083359544
2,XMEAS8-XMEAS9,0.23613391391203586,2.1436079742459224,0.930957114578812,16.090038300203204,0.5520591302911203
3,XMEAS8-XMEAS9,0.23874438575269016,2.1279245797002617,0.92414590287012,15.999949907792248,0.553093568025083
4,XMEAS8-XMEAS9,0.19624511009169407,2.1753333776155954,0.9447352821984157,15.940049181496738,0.5614906070458108
5,XMEAS7-XMEAS11,0.2641219059344313,2.1204331990224956,0.9208924375799296,15.243202194748545,0.5905698093751032
6,XMEAS7-XMEAS11,0.9901641273773244,0.07290671041764021,0.031662982028099466,10.410704187034373,0.38359863758727475
7,XMEAS8-XMEAS9,0.1949382023920518,2.1805561543784893,0.9470035053267531,14.719163140922907,0.5979484066583104
8,XMEAS7-XMEAS11,0.9930777545357147,0.05376099462732646,0.02334810330827825,11.940841721135433,0.39414062862623933
9,XMEAS8-XMEAS9,0.2382131212330492,2.1312080173591883,0.9255718817270652,16.00277244173943,0.5543211987700019
10,XMEAS8-XMEAS9,0.22047543667931202,2.190556791791269,0.9513467269706385,15.667413710594188,0.5747756472117717
11,XMEAS7-XMEAS9,0.47963350471632565,1.8226142366098443,0.7915513055979632,14.93309774282078,0.5806893167723939
12,XMEAS9-XMEAS11,0.6139175662003743,1.0988012234675857,0.4772033080605143,10.87081064801888,0.504031609588715
13,XMEAS7-XMEAS11,0.9552107572340358,0.2718229549311221,0.11805120938122263,14.634172843977906,0.50351284994768
14,XMEAS7-XMEAS11,0.9969716915249623,0.023302100240476895,0.010119973551195552,8.399715431771563,0.3557366994824927
15,XMEAS8-XMEAS9,0.23609212361885148,2.139945476831274,0.9293665121616452,16.27827602435822,0.541595192994654
16,XMEAS8-XMEAS9,0.23434134651033475,2.1653175510335654,0.9403854639821403,15.797884168726412,0.5688779969258991
17,XMEAS7-XMEAS11,0.5001560957563771,0.9982304676672356,0.4335259837755828,13.678932801552419,0.5311595920380647
18,XMEAS7-XMEAS11,0.7682837018729527,0.6930019512215787,0.3009669233637181,14.313339820570722,0.533855217109872
19,XMEAS7-XMEAS9,0.38848827387920415,1.8968475769865707,0.8237904356968212,15.15925971503259,0.5695236926543865
20,XMEAS7-XMEAS11,0.3060863927545257,2.017722167008727,0.8762856031457615,14.65713756754311,0.5947032911790318
