run_id,t_single_alarm,t_relation_detect,lead_time,switching_mean,dominance_mean,dominant_pair,d2_post_mean,d2_pre_mean
1,200,,,0.40813492063492063,0.8652628968253969,XMEAS7-XMEAS9,0.9675560187420856,0.8166128257839826
2,230,,,0.43655753968253963,0.8625,XMEAS7-XMEAS9,0.9839886364336261,0.7250455763751723
3,200,310.0,-110.0,0.4210813492063491,0.8819097222222222,XMEAS7-XMEAS9,1.3878634703257942,0.8858078311969958
4,230,,,0.4056795634920635,0.8721726190476191,XMEAS7-XMEAS9,0.9149213342015562,0.4502887380876072
5,230,880.0,-650.0,0.4088293650793651,0.8577628968253969,XMEAS7-XMEAS10,1.0728926068117635,1.3961066631739527
6,200,,,0.4306051587301587,0.9165128968253967,XMEAS7-XMEAS9,1.1776816122876554,1.0599921493360958
7,200,,,0.43080357142857145,0.8261111111111111,XMEAS8-XMEAS11,0.8773973316465751,0.9131216860866295
8,210,,,0.386359126984127,0.8032986111111111,XMEAS8-XMEAS9,0.9173791456567294,0.4528413994995555
9,200,,,0.2799107142857143,0.9037500000000002,XMEAS7-XMEAS9,1.0322672032855604,1.5266296768052932
10,200,420.0,-220.0,0.4126984126984127,0.8502628968253969,XMEAS7-XMEAS9,1.1004440505121118,0.746111585943163
11,200,610.0,-410.0,0.3746775793650794,0.9142757936507936,XMEAS7-XMEAS9,1.1716918054807384,0.3807804766933455
12,200,500.0,-300.0,0.3310019841269841,0.8702628968253968,XMEAS7-XMEAS9,1.0225356951842794,0.9264298386725391
13,220,,,0.29600694444444436,0.9,XMEAS7-XMEAS9,1.2310381002603215,1.4198259384481304
14,230,600.0,-370.0,0.4226686507936508,0.872172619047619,XMEAS7-XMEAS9,1.3407207407144768,0.7953863375193587
15,200,,,0.3204613095238095,0.8885615079365079,XMEAS7-XMEAS9,1.1253142474150315,0.9232080770774532
16,200,910.0,-710.0,0.33018353174603177,0.9227628968253967,XMEAS7-XMEAS9,1.243012187903275,0.9134547703595901
17,210,650.0,-440.0,0.33921130952380957,0.8275,XMEAS7-XMEAS10,0.8967913030515768,0.6627976826150146
18,270,,,0.3129464285714286,0.847172619047619,XMEAS7-XMEAS9,1.0863309395165925,0.6164468368813104
19,210,920.0,-710.0,0.3342261904761905,0.864672619047619,XMEAS7-XMEAS9,1.363103242833717,0.4777447478986329
20,200,,,0.333655753968254,0.8988244047619048,XMEAS7-XMEAS9,1.21070533133786,0.8746470954961346
21,240,,,0.43901289682539685,0.8350744047619049,XMEAS7-XMEAS9,0.7476238090499822,0.41060640458559483
