fault_number,mean_max_occ,std_max_occ,mean_edge_count,std_edge_count,mean_self_loop_mass,std_self_loop_mass,mean_stationary_entropy,std_stationary_entropy,taxonomy_class,classification_consistency
0,0.2224408226160488,0.0012919156906166897,37.77777777777778,14.621726019689737,0.5876502377511857,0.11242757298253589,0.9293732551353655,0.0010425419090485766,diffuse_wandering,0.8888888888888888
4,0.18985648926944962,0.0026234954116366276,38.81481481481482,14.894596431223064,0.5913965491894317,0.11676967647824374,0.944395437808455,0.0010290303585263425,diffuse_wandering,0.8888888888888888
6,0.9894015941200921,0.007320716329314856,1.0,0.0,0.9900520753106782,0.007052461091012596,0.03250679073821681,0.021019001389354874,single_edge_attractor,1.0
8,0.990478887393033,0.006094437660473978,1.0,0.0,0.9903268425627819,0.007023692053565113,0.03025984616233264,0.017647087108981496,single_edge_attractor,1.0
12,0.5931225742960654,0.05027287768557804,4.37037037037037,3.387172046550702,0.8647676306674174,0.05582764363340906,0.4730077621145496,0.05709371053559345,metastable_basin,0.5185185185185185
13,0.9534532540812146,0.02441125986817005,1.037037037037037,0.19245008972987523,0.9640891175243815,0.023768912442936368,0.11824931173177931,0.05387910390481732,single_edge_attractor,1.0
14,0.9954137582205478,0.0031305424041087335,1.0,0.0,0.9950442043351754,0.003755735155579868,0.014484678790036743,0.008946250432819162,single_edge_attractor,1.0
15,0.22255757769110615,0.001466111158901303,38.74074074074074,15.065479115138057,0.5846274926494119,0.11458603909334678,0.9352293555188589,0.004213847537002639,diffuse_wandering,0.8888888888888888
16,0.22025885672439738,0.0019714223129443727,39.333333333333336,15.546456435223677,0.5883288701989368,0.11179610683005818,0.9439378698399077,0.0006994433854449952,diffuse_wandering,0.8888888888888888
17,0.5019412621736581,0.018015530349325324,3.1481481481481484,1.833527573237818,0.8337870155886743,0.06833558674611355,0.4189605745597731,0.05200656559808417,metastable_basin,0.7777777777777778
18,0.7712841118946547,0.015714073563876944,2.074074074074074,0.38490017945975047,0.9258150408276485,0.023673143601795486,0.30084276359745266,0.02111342725828028,single_edge_attractor,0.7407407407407407
